      1  0  1  -20.1072   0.0000
      2  0  1  -14.5191   0.0000
      3  0  1   -8.9191   0.0000
      4  0  1   -4.5459   0.0000
      5  1  1  -10.4647   0.0000
      6  1  1   -9.9271  -0.0000
      7  1  1   -7.8497   0.0000
      8  2  1  -18.4284   0.0000
      9  2  1  -16.1957   0.0000
     10  2  1  -13.4803   0.0000
     11  2  1  -11.2503   0.0000
     12  2  1  -10.1495   0.0000
     13  2  1   -8.1061   0.0000
     14  2  1   -6.3562   0.0000
     15  2  1   -3.7209   0.0000
     16  3  1  -14.8173   0.0000
     17  3  1  -12.5923   0.0000
     18  3  1   -9.9272  -0.0000
     19  3  1   -7.9372   0.0000
     20  3  1   -5.8199   0.0000
     21  4  1  -17.5411   0.0000
     22  4  1  -15.4557   0.0000
     23  4  1  -13.1692   0.0000
     24  4  1  -10.4887   0.0000
     25  4  1   -8.5598   0.0000
     26  4  1   -3.4000   0.0000
     27  5  1  -14.6309   0.0000
     28  5  1   -9.9273  -0.0000
     29  6  1  -17.2824   0.0000
     30  6  1  -11.9590   0.0000
